Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Price
Air Asia,01/01/2023,Chennai,Kolkata,23:02,10h 38m,non-stop,5560
Jet Airways,29/01/2023,Delhi,Cochin,06:54,11h 1m,2 stops,11632
Jet Airways,28/02/2023,Bangalore,New Delhi,11:09,5h 16m,2 stops,10071
SpiceJet,14/04/2023,Kolkata,Cochin,09:05,19h 25m,1 stop,9253
Air India,23/01/2023,Delhi,Kolkata,15:52,23h 44m,non-stop,9969
Multiple carriers,14/04/2023,Bangalore,Hyderabad,18:24,3h 49m,non-stop,4637
GoAir,23/02/2023,Delhi,Kolkata,03:55,25h 14m,non-stop,9548
Vistara,09/03/2023,Bangalore,Cochin,01:20,18h 36m,1 stop,8669
SpiceJet,28/03/2023,Kolkata,New Delhi,23:25,15h 48m,non-stop,5704
Vistara,19/01/2023,Delhi,Kolkata,04:21,3h 30m,non-stop,3872
Vistara,06/03/2023,Delhi,Kolkata,13:49,23h 8m,1 stop,10234
SpiceJet,25/03/2023,Chennai,Kolkata,18:12,18h 39m,1 stop,7996
Air India,11/02/2023,Delhi,Kolkata,21:59,19h 5m,non-stop,9125
Vistara,14/02/2023,Chennai,Cochin,06:20,12h 38m,non-stop,6576
Multiple carriers,20/03/2023,Kolkata,Cochin,14:39,5h 28m,non-stop,5142
SpiceJet,17/02/2023,Kolkata,Hyderabad,04:48,24h 54m,non-stop,7730
IndiGo,29/04/2023,Kolkata,Delhi,04:55,10h 0m,2 stops,8420
Air India,02/03/2023,Delhi,Kolkata,00:21,7h 47m,1 stop,6667
Multiple carriers,21/03/2023,Mumbai,Kolkata,23:09,23h 44m,non-stop,8521
IndiGo,08/01/2023,Delhi,Bangalore,09:12,23h 39m,2 stops,10358
Air Asia,19/02/2023,Bangalore,New Delhi,21:17,22h 54m,2 stops,12270
Air India,22/04/2023,Bangalore,Cochin,20:24,8h 24m,non-stop,6851
GoAir,10/03/2023,Chennai,Delhi,02:11,7h 32m,3 stops,9398
IndiGo,09/02/2023,Bangalore,Delhi,10:31,13h 47m,1 stop,6287
GoAir,22/03/2023,Delhi,Cochin,09:15,17h 17m,non-stop,7531
Multiple carriers,01/05/2023,Chennai,New Delhi,17:17,8h 9m,2 stops,8837
Vistara,04/04/2023,Kolkata,New Delhi,12:33,22h 39m,1 stop,9854
SpiceJet,24/02/2023,Mumbai,Bangalore,09:58,20h 21m,3 stops,12110
Jet Airways,18/01/2023,Kolkata,Hyderabad,18:34,22h 51m,1 stop,12766
Jet Airways,01/04/2023,Delhi,Hyderabad,16:58,5h 27m,1 stop,8093
Jet Airways,16/01/2023,Delhi,Hyderabad,05:20,5h 46m,non-stop,6817
GoAir,08/02/2023,Chennai,Kolkata,14:47,21h 59m,2 stops,10561
SpiceJet,08/04/2023,Bangalore,New Delhi,19:39,9h 38m,1 stop,6471
SpiceJet,04/01/2023,Kolkata,Hyderabad,11:05,23h 49m,3 stops,12024
Air Asia,20/04/2023,Delhi,Bangalore,12:31,16h 8m,1 stop,7895
SpiceJet,08/04/2023,Bangalore,Kolkata,00:59,9h 26m,1 stop,6770
SpiceJet,23/01/2023,Kolkata,New Delhi,14:55,20h 31m,2 stops,11275
Air Asia,19/03/2023,Kolkata,New Delhi,23:52,13h 46m,2 stops,9057
IndiGo,27/02/2023,Mumbai,New Delhi,14:52,2h 56m,1 stop,4562
Vistara,19/02/2023,Bangalore,Delhi,16:48,21h 3m,1 stop,9346
Air Asia,10/04/2023,Chennai,Cochin,09:29,6h 27m,2 stops,7755
IndiGo,01/03/2023,Mumbai,Bangalore,20:28,3h 46m,non-stop,2618
Jet Airways,11/02/2023,Chennai,Kolkata,14:01,6h 29m,1 stop,8807
Air Asia,11/02/2023,Bangalore,Cochin,22:41,23h 50m,1 stop,10721
Air India,01/04/2023,Bangalore,New Delhi,14:40,12h 5m,3 stops,11988
Jet Airways,18/02/2023,Chennai,Delhi,01:49,6h 58m,2 stops,9658
Jet Airways,23/01/2023,Kolkata,Bangalore,22:03,14h 19m,2 stops,11995
Air Asia,24/01/2023,Delhi,Hyderabad,03:57,5h 12m,non-stop,4525
Multiple carriers,05/03/2023,Bangalore,Kolkata,15:34,1h 38m,non-stop,2737
SpiceJet,02/03/2023,Mumbai,Hyderabad,14:26,15h 5m,non-stop,5751
Multiple carriers,13/03/2023,Mumbai,Hyderabad,06:03,6h 9m,non-stop,4837
GoAir,27/03/2023,Bangalore,New Delhi,18:53,20h 19m,2 stops,11884
Air India,23/02/2023,Bangalore,New Delhi,05:10,22h 18m,1 stop,11978
Air Asia,30/04/2023,Mumbai,Cochin,01:05,25h 19m,2 stops,12004
Vistara,18/04/2023,Bangalore,Kolkata,17:04,10h 30m,1 stop,6249
Multiple carriers,09/03/2023,Delhi,Kolkata,06:44,7h 39m,non-stop,3973
Air India,30/03/2023,Chennai,Hyderabad,19:59,23h 18m,3 stops,14496
GoAir,29/04/2023,Delhi,Cochin,04:39,19h 31m,3 stops,12258
Jet Airways,01/04/2023,Mumbai,Bangalore,09:12,1h 7m,non-stop,5202
Air India,23/02/2023,Kolkata,Delhi,13:02,11h 22m,1 stop,7273
SpiceJet,12/04/2023,Delhi,Cochin,02:19,10h 32m,2 stops,8570
IndiGo,12/02/2023,Bangalore,Hyderabad,10:25,24h 36m,non-stop,9204
Jet Airways,17/04/2023,Kolkata,Cochin,10:59,22h 30m,3 stops,15632
IndiGo,22/03/2023,Kolkata,Bangalore,14:57,18h 57m,2 stops,9947
Vistara,08/02/2023,Bangalore,Delhi,18:46,22h 20m,non-stop,7926
GoAir,05/02/2023,Delhi,Bangalore,00:21,13h 40m,1 stop,7919
Vistara,15/01/2023,Kolkata,Delhi,09:45,11h 45m,non-stop,5306
Vistara,23/04/2023,Bangalore,Kolkata,07:23,15h 53m,2 stops,9192
Multiple carriers,17/02/2023,Kolkata,New Delhi,01:49,7h 58m,non-stop,4658
IndiGo,20/01/2023,Chennai,Delhi,06:21,16h 46m,2 stops,10088
GoAir,16/04/2023,Kolkata,New Delhi,16:43,5h 13m,non-stop,4190
Vistara,01/01/2023,Mumbai,New Delhi,09:59,2h 43m,non-stop,3182
Air Asia,08/03/2023,Bangalore,New Delhi,21:47,10h 1m,2 stops,8808
SpiceJet,25/01/2023,Delhi,Bangalore,09:17,18h 20m,3 stops,11874
Air India,21/01/2023,Delhi,Bangalore,08:07,1h 39m,non-stop,3673
GoAir,04/02/2023,Mumbai,Cochin,04:45,10h 36m,1 stop,6350
Air India,11/03/2023,Delhi,Cochin,14:03,5h 1m,3 stops,10599
IndiGo,07/01/2023,Bangalore,Kolkata,02:27,13h 11m,3 stops,10512
GoAir,15/04/2023,Delhi,Cochin,06:45,25h 42m,non-stop,10244
Air Asia,12/01/2023,Mumbai,Bangalore,22:29,4h 29m,2 stops,7401
Air Asia,29/01/2023,Chennai,Bangalore,04:55,20h 16m,2 stops,10802
Jet Airways,28/02/2023,Delhi,Cochin,15:01,3h 30m,non-stop,5469
Air Asia,06/02/2023,Chennai,Bangalore,11:38,19h 8m,non-stop,7580
Air India,10/01/2023,Delhi,Hyderabad,09:34,15h 25m,3 stops,11738
SpiceJet,03/03/2023,Mumbai,Bangalore,12:04,11h 13m,3 stops,10356
Vistara,11/03/2023,Mumbai,Cochin,22:15,6h 42m,non-stop,5014
Air Asia,18/03/2023,Bangalore,Delhi,14:20,18h 6m,3 stops,11360
Multiple carriers,18/03/2023,Chennai,New Delhi,03:43,20h 49m,3 stops,12170
Air Asia,28/01/2023,Bangalore,New Delhi,04:56,19h 57m,non-stop,8300
Jet Airways,07/02/2023,Kolkata,Delhi,12:39,19h 28m,1 stop,10671
GoAir,08/02/2023,Delhi,Hyderabad,13:45,12h 5m,non-stop,6252
Vistara,08/01/2023,Kolkata,Cochin,11:57,18h 3m,non-stop,7940
GoAir,21/04/2023,Bangalore,Cochin,00:15,14h 44m,3 stops,11280
GoAir,18/02/2023,Chennai,Kolkata,13:34,7h 42m,1 stop,6222
Jet Airways,19/02/2023,Kolkata,Delhi,11:53,14h 9m,2 stops,12287
Jet Airways,10/01/2023,Kolkata,New Delhi,20:01,5h 46m,3 stops,11097
Vistara,18/01/2023,Kolkata,New Delhi,20:51,14h 55m,3 stops,11830
Vistara,28/02/2023,Mumbai,Bangalore,16:27,18h 52m,3 stops,11787
GoAir,24/02/2023,Kolkata,Bangalore,19:00,19h 31m,1 stop,9708
Multiple carriers,15/03/2023,Chennai,Delhi,11:02,2h 36m,3 stops,8443
GoAir,03/03/2023,Bangalore,Delhi,22:05,5h 46m,2 stops,7202
Air India,12/01/2023,Mumbai,Delhi,07:30,21h 47m,non-stop,9650
Multiple carriers,26/04/2023,Mumbai,New Delhi,10:34,25h 0m,3 stops,13679
Air Asia,12/02/2023,Mumbai,Hyderabad,13:22,10h 18m,1 stop,6072
Multiple carriers,08/01/2023,Mumbai,Cochin,20:30,19h 10m,non-stop,8094
Multiple carriers,06/02/2023,Mumbai,New Delhi,15:05,5h 32m,non-stop,4993
Multiple carriers,20/03/2023,Delhi,Bangalore,08:17,9h 0m,non-stop,5486
Jet Airways,20/01/2023,Mumbai,Hyderabad,21:28,12h 51m,1 stop,9035
SpiceJet,13/04/2023,Chennai,Bangalore,16:55,2h 21m,non-stop,3981
Jet Airways,18/04/2023,Mumbai,Bangalore,15:48,14h 49m,3 stops,12487
Air Asia,15/03/2023,Kolkata,Bangalore,23:53,12h 3m,2 stops,9547
Air India,21/02/2023,Bangalore,Kolkata,15:19,16h 47m,1 stop,9277
Vistara,19/01/2023,Chennai,Cochin,16:55,14h 0m,2 stops,10398
Air Asia,10/02/2023,Chennai,Hyderabad,16:43,2h 6m,2 stops,7458
Vistara,20/04/2023,Mumbai,Hyderabad,08:21,9h 17m,non-stop,4772
Vistara,06/04/2023,Chennai,Hyderabad,07:46,22h 37m,1 stop,10064
GoAir,12/03/2023,Kolkata,Cochin,00:43,1h 53m,non-stop,2274
Vistara,14/01/2023,Bangalore,Delhi,21:28,12h 14m,2 stops,8515
SpiceJet,21/03/2023,Bangalore,New Delhi,02:03,20h 42m,1 stop,9946
Air India,20/04/2023,Bangalore,New Delhi,19:08,13h 42m,1 stop,9585
Air India,07/02/2023,Kolkata,Cochin,14:42,3h 40m,3 stops,10139
Multiple carriers,26/04/2023,Chennai,Hyderabad,21:49,25h 20m,2 stops,11581
Air India,19/02/2023,Delhi,Kolkata,10:03,9h 52m,2 stops,8614
Air Asia,29/04/2023,Bangalore,Kolkata,06:39,13h 11m,3 stops,9972
Jet Airways,28/01/2023,Mumbai,Kolkata,19:41,4h 58m,3 stops,10965
Multiple carriers,10/01/2023,Bangalore,New Delhi,02:36,24h 16m,3 stops,12538
Air Asia,23/03/2023,Kolkata,Hyderabad,00:59,2h 42m,3 stops,7545
Jet Airways,15/03/2023,Delhi,Kolkata,00:32,23h 49m,3 stops,15229
Vistara,10/04/2023,Chennai,Hyderabad,02:34,8h 0m,3 stops,10454
Air Asia,10/03/2023,Bangalore,Delhi,11:21,22h 19m,3 stops,12113
Air India,11/01/2023,Delhi,Cochin,14:48,25h 18m,1 stop,11111
IndiGo,25/01/2023,Chennai,Hyderabad,09:44,13h 57m,non-stop,6041
GoAir,24/04/2023,Chennai,New Delhi,20:28,24h 12m,1 stop,9573
SpiceJet,17/03/2023,Bangalore,Hyderabad,07:31,13h 4m,2 stops,8773
Air Asia,13/02/2023,Bangalore,New Delhi,01:21,24h 2m,3 stops,12742
SpiceJet,01/05/2023,Mumbai,Kolkata,21:55,18h 9m,1 stop,9394
Air India,19/01/2023,Bangalore,Hyderabad,15:41,1h 30m,non-stop,3747
Jet Airways,07/01/2023,Bangalore,Hyderabad,09:52,4h 29m,1 stop,8210
Air India,05/03/2023,Bangalore,New Delhi,19:51,20h 14m,non-stop,9647
SpiceJet,14/04/2023,Chennai,Cochin,23:43,13h 20m,non-stop,6748
Jet Airways,08/04/2023,Delhi,Bangalore,01:37,6h 21m,non-stop,5747
Multiple carriers,31/03/2023,Kolkata,Bangalore,11:35,6h 28m,1 stop,6895
IndiGo,12/04/2023,Kolkata,New Delhi,20:39,13h 49m,1 stop,6282
Air Asia,01/01/2023,Bangalore,New Delhi,05:59,3h 45m,2 stops,6602
Air Asia,19/01/2023,Kolkata,Bangalore,20:17,17h 28m,3 stops,11239
Jet Airways,05/01/2023,Mumbai,Hyderabad,19:11,23h 31m,non-stop,11034
Multiple carriers,01/01/2023,Delhi,Kolkata,17:15,7h 7m,non-stop,5017
GoAir,29/01/2023,Mumbai,Delhi,14:49,21h 42m,1 stop,9316
IndiGo,12/04/2023,Kolkata,New Delhi,04:43,16h 31m,1 stop,7327
IndiGo,16/02/2023,Bangalore,Hyderabad,09:13,14h 16m,2 stops,9263
Air Asia,05/04/2023,Bangalore,New Delhi,01:59,18h 11m,1 stop,9608
IndiGo,15/01/2023,Chennai,Delhi,02:57,8h 46m,3 stops,9213
GoAir,06/04/2023,Chennai,Bangalore,21:57,11h 14m,non-stop,5417
SpiceJet,22/02/2023,Bangalore,Hyderabad,06:24,8h 4m,3 stops,9198
Air Asia,19/01/2023,Bangalore,Kolkata,06:59,20h 29m,1 stop,9293
GoAir,25/01/2023,Kolkata,Hyderabad,20:22,9h 12m,2 stops,7510
IndiGo,05/02/2023,Mumbai,New Delhi,04:07,15h 29m,3 stops,10100
GoAir,19/03/2023,Kolkata,Cochin,05:50,21h 39m,1 stop,9933
SpiceJet,20/04/2023,Bangalore,Kolkata,16:31,7h 37m,3 stops,9464
Air Asia,24/02/2023,Delhi,Hyderabad,23:55,8h 15m,2 stops,7889
SpiceJet,27/04/2023,Mumbai,Bangalore,18:57,1h 26m,non-stop,1832
Air Asia,24/02/2023,Mumbai,New Delhi,16:25,16h 51m,non-stop,6926
Air Asia,13/03/2023,Kolkata,New Delhi,00:44,24h 26m,1 stop,9771
GoAir,24/03/2023,Delhi,Bangalore,02:01,16h 42m,2 stops,9331
Air Asia,16/03/2023,Mumbai,Hyderabad,00:29,15h 49m,1 stop,9040
Vistara,22/03/2023,Kolkata,Cochin,14:45,21h 0m,non-stop,8038
GoAir,07/02/2023,Mumbai,New Delhi,13:48,9h 44m,1 stop,7363
Air India,05/04/2023,Mumbai,Cochin,01:32,22h 23m,non-stop,8727
Vistara,21/03/2023,Delhi,Kolkata,01:23,12h 11m,non-stop,6148
SpiceJet,31/01/2023,Kolkata,Cochin,17:07,21h 30m,1 stop,9792
SpiceJet,25/04/2023,Delhi,Cochin,08:32,22h 27m,2 stops,10111
Air India,27/02/2023,Delhi,Cochin,15:32,17h 53m,non-stop,8212
Multiple carriers,17/02/2023,Chennai,Delhi,21:44,3h 12m,3 stops,7428
Air India,06/02/2023,Chennai,Bangalore,02:06,6h 17m,non-stop,5927
Jet Airways,22/04/2023,Chennai,Bangalore,06:33,21h 1m,2 stops,13103
Jet Airways,23/02/2023,Chennai,Cochin,14:47,21h 1m,2 stops,12637
Air India,24/03/2023,Bangalore,Delhi,10:26,19h 21m,2 stops,11745
Air Asia,14/03/2023,Chennai,Cochin,04:57,10h 10m,2 stops,7964
Air Asia,09/04/2023,Delhi,Cochin,01:09,12h 18m,3 stops,11458
Jet Airways,02/04/2023,Mumbai,Bangalore,17:18,6h 11m,1 stop,7330
SpiceJet,10/02/2023,Bangalore,New Delhi,18:08,15h 16m,2 stops,8627
SpiceJet,05/01/2023,Mumbai,Hyderabad,21:20,12h 9m,2 stops,8418
Jet Airways,16/01/2023,Mumbai,Cochin,00:25,16h 49m,1 stop,11441
Air Asia,01/01/2023,Delhi,Bangalore,23:34,17h 21m,2 stops,10220
Multiple carriers,19/01/2023,Mumbai,Hyderabad,18:46,15h 21m,non-stop,7248
Air Asia,12/03/2023,Bangalore,Hyderabad,03:19,1h 25m,non-stop,3163
GoAir,08/01/2023,Bangalore,Cochin,19:41,7h 37m,1 stop,6850
Multiple carriers,11/01/2023,Kolkata,New Delhi,17:54,15h 43m,non-stop,7748
Vistara,19/03/2023,Kolkata,Cochin,19:32,2h 58m,2 stops,6314
Jet Airways,19/02/2023,Chennai,Cochin,11:00,10h 22m,2 stops,10130
Air Asia,28/01/2023,Mumbai,New Delhi,23:56,15h 47m,3 stops,11895
Air Asia,14/04/2023,Delhi,Bangalore,23:57,14h 46m,3 stops,10285
Air India,08/02/2023,Kolkata,Bangalore,15:55,17h 21m,non-stop,9161
Vistara,22/02/2023,Bangalore,New Delhi,20:58,9h 26m,1 stop,6888
Air Asia,26/01/2023,Mumbai,Bangalore,05:53,13h 18m,3 stops,9836
Multiple carriers,05/03/2023,Mumbai,Cochin,17:47,15h 14m,non-stop,7370
IndiGo,08/02/2023,Kolkata,Cochin,20:53,21h 30m,non-stop,8089
Multiple carriers,04/03/2023,Chennai,Bangalore,22:41,8h 1m,non-stop,5566
Multiple carriers,18/03/2023,Chennai,New Delhi,23:23,19h 30m,3 stops,13028
Multiple carriers,15/04/2023,Chennai,Hyderabad,03:23,17h 46m,non-stop,7981
Multiple carriers,08/01/2023,Kolkata,Delhi,04:20,15h 56m,1 stop,7981
Jet Airways,16/02/2023,Bangalore,Cochin,13:40,12h 3m,2 stops,10597
Air India,09/04/2023,Mumbai,Bangalore,20:11,25h 6m,1 stop,11863
GoAir,13/04/2023,Delhi,Hyderabad,09:17,22h 44m,2 stops,10696
GoAir,18/01/2023,Kolkata,New Delhi,16:18,12h 49m,3 stops,10343
GoAir,28/01/2023,Kolkata,New Delhi,04:32,8h 53m,1 stop,7128
Air India,28/04/2023,Chennai,Kolkata,02:07,5h 59m,non-stop,5232
GoAir,16/02/2023,Delhi,Hyderabad,04:52,15h 56m,2 stops,9102
Multiple carriers,15/04/2023,Bangalore,Hyderabad,03:14,5h 54m,1 stop,6159
SpiceJet,27/01/2023,Delhi,Bangalore,04:05,14h 44m,non-stop,5159
IndiGo,06/01/2023,Chennai,Kolkata,06:06,2h 50m,non-stop,2960
Air India,27/03/2023,Delhi,Cochin,00:48,4h 50m,non-stop,5884
SpiceJet,24/01/2023,Mumbai,Bangalore,21:22,1h 5m,non-stop,3482
Multiple carriers,15/02/2023,Mumbai,Cochin,05:54,17h 49m,1 stop,8784
Air India,08/04/2023,Bangalore,Delhi,00:33,7h 45m,1 stop,8224
Multiple carriers,01/01/2023,Kolkata,Delhi,23:06,7h 58m,3 stops,9000
Jet Airways,14/01/2023,Chennai,Hyderabad,05:53,12h 24m,3 stops,11938
SpiceJet,08/04/2023,Chennai,New Delhi,10:07,15h 7m,1 stop,7765
GoAir,06/01/2023,Delhi,Hyderabad,02:20,16h 7m,3 stops,11080
Air Asia,09/02/2023,Mumbai,Hyderabad,21:53,15h 14m,3 stops,10845
Vistara,25/04/2023,Kolkata,New Delhi,15:43,12h 11m,non-stop,6380
Air Asia,26/02/2023,Bangalore,Kolkata,16:42,22h 5m,non-stop,7793
Vistara,17/03/2023,Chennai,Hyderabad,03:47,6h 4m,2 stops,8497
SpiceJet,18/03/2023,Delhi,Bangalore,12:07,8h 53m,3 stops,9485
Air Asia,09/04/2023,Delhi,Hyderabad,18:37,9h 48m,3 stops,9479
Air Asia,04/03/2023,Mumbai,Kolkata,16:17,5h 49m,3 stops,7971
Air India,05/03/2023,Delhi,Kolkata,07:40,5h 1m,non-stop,5761
IndiGo,28/03/2023,Bangalore,Kolkata,00:11,13h 38m,2 stops,8062
Multiple carriers,13/01/2023,Mumbai,Delhi,02:42,25h 33m,3 stops,14373
Air Asia,26/03/2023,Kolkata,Cochin,15:31,17h 16m,2 stops,10907
IndiGo,23/04/2023,Bangalore,Kolkata,03:24,15h 20m,3 stops,10656
Air Asia,23/01/2023,Bangalore,New Delhi,17:42,25h 19m,1 stop,10756
Vistara,02/04/2023,Kolkata,Cochin,12:31,25h 7m,3 stops,14101
Air Asia,20/04/2023,Chennai,Delhi,05:32,2h 25m,2 stops,6513
Vistara,15/02/2023,Mumbai,Hyderabad,09:20,2h 1m,non-stop,2762
GoAir,16/03/2023,Delhi,Hyderabad,00:48,21h 21m,3 stops,11949
Vistara,22/02/2023,Delhi,Cochin,11:03,22h 15m,1 stop,9480
Multiple carriers,27/04/2023,Mumbai,New Delhi,22:04,10h 7m,2 stops,7847
IndiGo,05/01/2023,Mumbai,Cochin,14:42,14h 36m,3 stops,10046
IndiGo,03/01/2023,Chennai,Delhi,10:24,19h 24m,2 stops,10422
Air India,30/03/2023,Chennai,New Delhi,21:13,11h 31m,2 stops,9091
Multiple carriers,26/01/2023,Delhi,Kolkata,15:40,3h 53m,1 stop,4838
Multiple carriers,15/03/2023,Bangalore,Cochin,12:51,8h 39m,non-stop,5469
Air India,04/02/2023,Mumbai,Cochin,02:36,17h 30m,3 stops,12179
GoAir,16/04/2023,Bangalore,Hyderabad,09:32,10h 27m,2 stops,7909
Vistara,21/03/2023,Chennai,Cochin,16:29,22h 48m,1 stop,10804
IndiGo,15/03/2023,Mumbai,Bangalore,15:13,22h 52m,3 stops,12048
Vistara,22/03/2023,Mumbai,Hyderabad,01:33,7h 23m,3 stops,8552
SpiceJet,29/03/2023,Kolkata,Hyderabad,09:54,14h 26m,2 stops,9761
Air India,16/04/2023,Kolkata,Cochin,09:41,6h 16m,1 stop,6831
SpiceJet,01/02/2023,Bangalore,New Delhi,09:29,16h 35m,3 stops,10864
IndiGo,04/02/2023,Kolkata,Bangalore,04:01,9h 50m,2 stops,8098
Jet Airways,04/03/2023,Bangalore,Hyderabad,00:03,3h 20m,2 stops,9525
Air India,27/03/2023,Chennai,Cochin,21:56,3h 25m,1 stop,5733
Air India,06/03/2023,Mumbai,Hyderabad,03:33,22h 53m,2 stops,12516
Air India,16/01/2023,Kolkata,Delhi,10:21,19h 47m,3 stops,13900
SpiceJet,19/01/2023,Chennai,Bangalore,03:11,7h 17m,3 stops,8586
Multiple carriers,04/03/2023,Mumbai,New Delhi,17:23,23h 7m,2 stops,11867
Vistara,01/02/2023,Chennai,Hyderabad,08:56,5h 23m,3 stops,9215
GoAir,26/04/2023,Delhi,Hyderabad,19:02,24h 42m,non-stop,9414
SpiceJet,09/02/2023,Delhi,Kolkata,20:44,12h 57m,non-stop,5595
SpiceJet,02/01/2023,Chennai,Kolkata,12:59,9h 19m,non-stop,5667
SpiceJet,21/04/2023,Delhi,Bangalore,05:58,15h 40m,2 stops,10051
Vistara,21/04/2023,Bangalore,Cochin,02:52,25h 31m,3 stops,14259
Vistara,24/02/2023,Delhi,Hyderabad,03:52,6h 44m,2 stops,7536
Air India,19/03/2023,Delhi,Kolkata,23:52,18h 47m,2 stops,11428
IndiGo,24/03/2023,Bangalore,Hyderabad,05:40,15h 50m,1 stop,6756
Vistara,09/02/2023,Kolkata,Hyderabad,10:36,3h 7m,1 stop,4761
Jet Airways,22/02/2023,Mumbai,Hyderabad,10:28,16h 55m,1 stop,10033
Jet Airways,13/04/2023,Mumbai,Cochin,09:12,3h 26m,2 stops,8122
Vistara,29/01/2023,Chennai,Delhi,00:01,18h 41m,1 stop,9857
Air India,03/02/2023,Chennai,Bangalore,22:54,6h 3m,3 stops,10265
Vistara,20/01/2023,Mumbai,Cochin,02:23,6h 36m,non-stop,3528
Vistara,05/03/2023,Chennai,Hyderabad,03:14,23h 13m,1 stop,11187
Multiple carriers,05/03/2023,Delhi,Hyderabad,12:08,14h 54m,1 stop,8228
SpiceJet,28/03/2023,Delhi,Hyderabad,06:26,6h 26m,1 stop,4558
Multiple carriers,21/03/2023,Delhi,Bangalore,14:58,8h 23m,3 stops,8675
IndiGo,22/04/2023,Chennai,Bangalore,10:44,13h 43m,1 stop,7710
Vistara,18/03/2023,Chennai,Hyderabad,08:04,4h 35m,non-stop,3106
GoAir,19/03/2023,Kolkata,Cochin,21:51,20h 45m,non-stop,7010
Multiple carriers,18/02/2023,Mumbai,Delhi,09:25,22h 23m,1 stop,10982
IndiGo,03/02/2023,Mumbai,Bangalore,05:32,16h 59m,2 stops,10297
Air Asia,10/02/2023,Kolkata,New Delhi,22:33,14h 9m,2 stops,8739
GoAir,22/04/2023,Bangalore,Kolkata,08:47,12h 59m,3 stops,10079
Multiple carriers,08/03/2023,Mumbai,Cochin,10:27,6h 20m,3 stops,9564
Jet Airways,23/03/2023,Mumbai,Hyderabad,14:03,7h 9m,non-stop,6220
Jet Airways,03/02/2023,Bangalore,Kolkata,05:45,15h 27m,non-stop,9583
Air Asia,15/02/2023,Bangalore,Kolkata,22:35,16h 29m,3 stops,10730
Jet Airways,12/01/2023,Bangalore,Cochin,06:55,10h 11m,1 stop,9535
Multiple carriers,16/03/2023,Mumbai,Hyderabad,06:37,1h 33m,non-stop,3102
Air India,13/01/2023,Kolkata,Hyderabad,10:01,10h 43m,non-stop,6307
GoAir,18/04/2023,Mumbai,New Delhi,10:09,1h 5m,non-stop,3951
Air Asia,04/02/2023,Chennai,Hyderabad,19:42,1h 21m,non-stop,3593
Air Asia,04/04/2023,Delhi,Hyderabad,18:08,7h 55m,non-stop,5391
Multiple carriers,10/01/2023,Delhi,Hyderabad,17:38,13h 5m,3 stops,10272
Jet Airways,03/01/2023,Kolkata,New Delhi,06:10,13h 49m,3 stops,12333
Jet Airways,04/03/2023,Bangalore,Cochin,13:47,10h 57m,1 stop,8735
Air India,04/03/2023,Delhi,Bangalore,14:56,13h 30m,2 stops,10403
Vistara,14/04/2023,Bangalore,Kolkata,11:39,6h 27m,3 stops,8190
IndiGo,01/03/2023,Mumbai,Cochin,21:14,21h 43m,1 stop,10156
Air Asia,24/03/2023,Mumbai,Hyderabad,16:05,10h 29m,3 stops,9162
Air Asia,17/01/2023,Delhi,Bangalore,21:57,10h 53m,1 stop,7071
Vistara,22/02/2023,Delhi,Kolkata,03:29,22h 46m,2 stops,11227
Multiple carriers,09/04/2023,Mumbai,New Delhi,16:01,4h 47m,3 stops,7867
Jet Airways,11/01/2023,Chennai,New Delhi,13:56,23h 19m,2 stops,13952
Air Asia,14/04/2023,Chennai,Delhi,08:21,6h 13m,1 stop,5160
Multiple carriers,10/03/2023,Bangalore,Kolkata,00:00,13h 7m,non-stop,5601
Air Asia,21/02/2023,Chennai,Hyderabad,21:47,20h 46m,3 stops,12120
GoAir,12/01/2023,Chennai,Cochin,04:08,1h 12m,non-stop,3921
IndiGo,27/01/2023,Kolkata,New Delhi,15:41,5h 41m,1 stop,5142
SpiceJet,09/04/2023,Bangalore,Cochin,14:09,16h 27m,non-stop,5738
Jet Airways,31/03/2023,Kolkata,Hyderabad,14:31,16h 1m,3 stops,13698
SpiceJet,14/03/2023,Kolkata,Cochin,12:03,11h 0m,non-stop,5541
Vistara,05/04/2023,Chennai,Kolkata,18:38,24h 35m,2 stops,11075
Air Asia,07/03/2023,Chennai,Kolkata,18:46,20h 59m,3 stops,11974
IndiGo,24/02/2023,Mumbai,New Delhi,18:20,18h 4m,2 stops,10828
Vistara,05/03/2023,Chennai,New Delhi,19:41,12h 28m,3 stops,9542
Jet Airways,25/01/2023,Delhi,Hyderabad,15:22,15h 14m,1 stop,10453
GoAir,26/03/2023,Mumbai,Hyderabad,14:08,10h 46m,3 stops,10965
Vistara,13/04/2023,Delhi,Kolkata,05:39,7h 18m,non-stop,5116
Air Asia,26/01/2023,Kolkata,Bangalore,05:38,16h 6m,3 stops,12431
Air Asia,27/01/2023,Delhi,Bangalore,17:03,1h 22m,non-stop,2981
Jet Airways,05/01/2023,Kolkata,Delhi,02:21,14h 7m,1 stop,9247
SpiceJet,13/02/2023,Chennai,Cochin,11:49,2h 49m,2 stops,6835
Jet Airways,27/03/2023,Mumbai,Delhi,03:45,2h 59m,3 stops,10636
Air Asia,11/04/2023,Bangalore,New Delhi,19:39,4h 52m,non-stop,4038
Air India,16/01/2023,Kolkata,Hyderabad,06:58,12h 10m,2 stops,10450
Air Asia,04/04/2023,Mumbai,Kolkata,03:09,21h 23m,2 stops,11927
